Blank OD is 14.6332
Time OD Volume Z Media ODpost
40252.21 0.5000 0.4879 648.3618 684.6619 1.0 0.4802
40366.48 0.5000 0.4920 660.3839 684.2639 1.0 0.4712
40480.69 0.5000 0.4877 646.7036 683.6482 1.0 0.4807
40594.91 0.5000 0.4867 643.0761 682.9831 1.0 0.4851
40709.19 0.5000 0.4943 665.6438 682.6988 1.0 0.4959
40823.45 0.5000 0.4937 663.6178 682.3860 1.0 0.4793
40937.69 0.5000 0.4959 670.0076 682.1831 1.0 0.5190
41051.96 0.5000 0.4956 668.8497 681.9645 1.0 0.4900
41166.20 0.5000 0.5070 703.1988 682.3126 1.0 0.4818
41280.45 0.5000 0.4978 675.6259 682.2030 1.0 0.4858
41394.69 0.5000 0.5016 687.1027 682.2833 1.0 0.4848
41508.98 0.5000 0.4976 674.9653 682.1634 1.0 0.4988
41623.21 0.5000 0.5011 685.5458 682.2188 1.0 0.4800
41737.52 0.5000 0.4919 657.4675 681.8130 1.0 0.5040
41851.79 0.5000 0.5013 685.6348 681.8757 1.0 0.4845
41966.07 0.5000 0.4954 667.7949 681.6449 1.0 0.4831
42080.38 0.5000 0.4991 678.9261 681.6003 1.0 0.5012
42194.65 0.5000 0.4902 651.6489 681.1093 1.0 0.4774
42308.92 0.5000 0.4915 655.1366 680.6835 1.0 0.4783
42423.19 0.5000 0.4939 662.1298 680.3793 1.0 0.4966
42537.46 0.5000 0.5048 695.0098 680.6192 1.0 0.4832
42651.73 0.5000 0.4953 666.2731 680.3840 1.0 0.4847
42765.93 0.5000 0.4944 663.3230 680.1043 1.0 0.4833
42880.18 0.5000 0.4978 673.2616 679.9921 1.0 0.4804
42994.46 0.5000 0.4998 679.4837 679.9838 1.0 0.4948
43108.71 0.5000 0.4971 671.1198 679.8385 1.0 0.4922
43222.90 0.5000 0.5006 681.5291 679.8662 1.0 0.4920
43337.18 0.5000 0.5065 699.6171 680.1900 1.0 -4.1450
43451.45 0.5000 0.5059 698.2662 680.4863 1.0 0.4898
43565.69 0.5000 0.5043 693.6695 680.7024 1.0 0.5045
43679.94 0.5000 0.5043 693.9471 680.9196 1.0 0.4980
43794.19 0.5000 0.5133 721.3510 681.5824 1.0 0.4935
43908.43 0.5000 0.5025 689.2681 681.7084 1.0 0.5036
44022.68 0.5000 0.5088 708.6865 682.1506 1.0 0.4965
44136.93 0.5000 0.5031 691.7437 682.3079 1.0 0.4973
44251.18 0.5000 0.5125 720.3034 682.9308 1.0 0.4944
44365.43 0.5000 0.5031 692.3206 683.0847 1.0 0.4882
44479.68 0.5000 0.4998 682.4351 683.0741 1.0 0.4892
44593.95 0.5000 0.4981 677.3863 682.9808 1.0 0.4783
44708.22 0.5000 0.4936 663.5051 682.6615 1.0 0.4894
44822.43 0.5000 0.5012 686.3056 682.7213 1.0 0.4832
44936.72 0.5000 0.4915 656.6576 682.2940 1.0 0.5092
45051.04 0.5000 0.5108 715.1024 682.8319 1.0 0.4902
45165.36 0.5000 0.5068 703.6236 683.1727 1.0 0.4873
45279.68 0.5000 0.4977 676.1944 683.0583 1.0 0.5036
45394.00 0.5000 0.5005 684.5915 683.0834 1.0 0.4924
45508.26 0.5000 0.5034 693.5666 683.2553 1.0 0.4889
45622.54 0.5000 0.5025 690.9879 683.3821 1.0 0.4946
45736.75 0.5000 0.5102 714.4533 683.8914 1.0 0.4861
45850.98 0.5000 0.5081 708.5608 684.2958 1.0 0.5041
45965.30 0.5000 0.5032 693.9546 684.4542 1.0 0.4974
46079.55 0.5000 0.5124 722.2172 685.0732 1.0 0.4935
46193.82 0.5000 0.5103 716.4779 685.5881 1.0 0.4949
